Country Name,corruption_perception_estimate,access_to_electricity_percent,co2_emissions_per_capita,mobile_cellular_subscriptions_per_100_people,agriculture_value_added_percent_gdp,industry_value_added_percent_gdp,gdp_growth_annual_percent,gdp_per_capita_usd,stability_of_government_estimate,health_expenditure_pct_gdp,child_mortality_rate,life_expectancy_at_birth,fertility_rate_total,population_65_plus_percent,population_total,urban_population_percent
Honduras,-1.00228834152222,94.4,0.9870533584508676,75.8551,12.47327302444554,25.908424768948844,4.143561940137673,3003.2899682639945,-0.568361818790436,8.28209972,13.7,72.715,2.522,4.16665073884696,10463872.0,59.6
"Hong Kong SAR, China",1.61076176166534,100.0,4.441390669879255,292.808,0.05290197221827597,6.2626536640311805,-3.6837514169857286,48825.84418735359,0.5749272108078,8.945372484,2.320000000000004,83.66097560975611,0.7010000000000001,20.6844238114149,7346100.0,100.0
Hungary,-0.103261694312096,100.0,4.9558389659465405,105.794,3.1336624890849407,24.29403402000386,4.270347551629044,18483.636686703485,0.678676307201385,6.68981791,3.1999999999999993,75.86829268292684,1.56,20.6075593133653,9605074.0,72.552
Iceland,1.56749963760376,100.0,8.508048366112309,120.115,4.162385146021436,21.87411885388467,8.978970851754966,75121.01522806275,1.24969923496246,9.28593922,2.0,82.11951219512197,1.589,15.1109948456115,382003.0,93.992
India,-0.322223275899887,99.2,1.9228118196239956,80.1818,16.546129592575387,25.38451956294612,7.609364977688955,2347.4482943462317,-0.615027368068695,3.3058846,25.6,71.698,1.994,6.69899975408181,1425423212.0,35.872
Indonesia,-0.435335576534271,100.0,2.355083578383915,122.873,12.399650163410756,41.42926417609789,5.307197226647986,4730.834848361068,-0.553894221782684,2.6939485100000002,17.5,70.925,2.149,6.82466625959862,278830529.0,57.934
"Iran, Islamic Rep.",-1.12661647796631,100.0,8.495505228829293,162.713,12.765315121686596,39.855692976080384,3.776631401529059,4405.092915197907,-1.62561237812042,5.34889174,11.0,76.799,1.704,7.62900026195697,89524246.0,76.807
Iraq,-1.21335303783417,100.0,4.322053972050406,99.1324,2.058706213883741,65.27212455945093,7.959048049926622,6520.73154560584,-2.40930914878845,4.29332495,21.5,72.037,3.294,3.3976055801979896,44070551.0,71.354
Ireland,1.67441475391388,100.0,6.663090877978897,110.609,1.0987488389633917,40.68170533410154,8.619503456187715,105234.51156759707,0.88466739654541,6.11978531,3.3000000000000007,82.50975609756098,1.54,15.16194031114,5212836.0,64.183
Isle of Man,1.4969823449850077,100.0,5.692998408981638,115.998,0.3724667830155415,6.936464027000195,-4.165393452132321,88328.54812588703,0.8466361820697792,9.935613728,3.5199999999999996,80.956,1.556,22.3006703751248,84132.0,53.271
Israel,0.781028926372528,100.0,6.576416426889877,151.138,1.1618336562619014,19.42694297994659,6.263263438412864,54949.62155642902,-1.22896540164948,7.34161806,2.6999999999999993,82.70000000000002,2.89,12.3030366078735,9557500.0,92.763
Italy,0.527714252471924,100.0,5.638792112342384,131.674,1.8903717512566853,23.279144111179946,4.821176699135648,35653.9042103495,0.46629822254180897,9.02753067,2.3999999999999986,82.70000000000002,1.24,23.929189689659,59013667.0,71.657
Jamaica,-0.02332185767591,100.0,2.2432817778879834,105.762,8.099365101753357,19.92208153610686,5.221519851596128,6022.153397917635,0.36424279212951693,7.77706337,18.3,71.481,1.372,7.53711329893799,2839144.0,57.008
Japan,1.53992962837219,100.0,8.07175855176299,168.603,0.9218813001109716,27.71743745829661,0.9419987754832841,34065.64389625263,1.0326372385025,11.42183685,1.8000000000000007,83.99634146341464,1.26,29.402647305694195,125124989.0,91.955
Jordan,0.0730289965867996,100.0,1.9842997627187637,67.7457,4.817844571160014,24.488201584582608,2.6474351491205823,4332.251598979314,-0.234430953860283,6.82820034,12.6,77.088,2.679,4.14208054031429,11256263.0,91.827
Kazakhstan,-0.185685604810715,100.0,11.99027143479566,125.642,5.247144807300736,34.97939742375806,3.1999999997073445,11255.339643788113,-0.46835383772850003,3.74026752,7.699999999999999,73.503,3.05,7.98541663578261,20034609.0,57.99
Kenya,-0.759503602981567,76.0,0.39426045576070745,121.169,21.03619206499328,17.52744809684349,4.859981042879994,2109.562885131374,-0.947280883789062,4.32603645,35.8,63.549,3.262,2.86391987696116,54252461.0,29.001999999999995
Kiribati,0.23645162582397497,94.4,0.722010592554553,49.112,27.83693370289049,9.859915263164073,4.566325931003718,2069.7672011055874,1.10384833812714,10.49855042,40.6,66.269,3.182,4.01552865250999,130469.0,57.058
"Korea, Dem. People's Rep.",-1.60601854324341,54.7,2.25855710723353,24.131100000000018,11.915055388104014,24.693645513757968,3.0913826828233653,3102.20242691382,-0.43081101775169406,4.482457876,14.3,73.641,1.797,11.5930531703916,26328845.0,62.916
"Korea, Rep.",0.748368859291077,100.0,11.375815280250531,148.684,1.6416471676339501,31.72630125657452,2.612672191872264,32394.68337252032,0.579976737499237,9.43414211,2.3999999999999986,82.68048780487806,0.778,17.4846463366305,51672569.0,81.427
